Search Term: Cereal, , , , 
Brand,Cereal Name,Rating,Search Ranking,Num of Reviews
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 26.6 oz",4.826,1,207
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 33 oz",4.709,2,117
Kellogg's,"Kellogg's Rice Krispies Cereal, 24 oz",4.867,9,60
Kellogg's,"Kellogg's Apple Jacks Cereal, 21.7 oz",4.654,13,52
Kellogg's Froot Loops,"Kellogg's Froot Loops Cereal, 26 oz",4.778,14,63
Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 12.25 oz",4.826,16,207
Kellogg's,"Kellogg's Cracklin Oat Bran Cereal, 17 Oz",4.737,18,19
Kellogg's,"Kellogg's Corn Flakes Cereal, 24 oz",4.674,21,46
Cheerios,"Multi Grain Cheerios Gluten Free Cereal, 18 oz",4.813,22,16
Kellogg's Special K,"Kellogg's Special K Chocolatey Delight Cereal, 16.5 oz",4.884,23,46
Post,"Post Selects Great Grains Raisins Dates & Pecans Cereal, 16 oz",4.936,24,47
Post,"Post Honey-Comb Cereal, 16 oz",5.0,29,12
Kellogg's,"Kellogg's Froot Loops Cereal, 21.7 oz",4.778,33,63
Kellogg's Special K,"Kellogg's Special K Oats & Honey Cereal, 13.1 oz",4.789,39,52
Cheerios,"Cheerios Gluten Free Cereal, 18 oz",4.839,46,186
Post,"Post Fruity Pebbles Cereal, 20.5 oz",4.318,47,22
Kellogg's Crunchy Nut,"Kellogg's Crunchy Nut Golden Honey Nut Flakes Cereal, 13.2 oz",4.844,48,32
Post,"Post Shredded Wheat Original Cereal, 15 oz",5.0,49,21
Kashi,"Kashi Heart To Heart Oak Flakes & Wild Blueberry Clusters Cereal, 13.4 oz",3.875,59,8
Kellogg's Special K,"Kellogg's Special K Cinnamon Pecan Cereal, 12.1 oz",4.819,60,94
Cheerios,"Cheerios Protein Cinnamon Almond Cereal, 14.1 oz",4.636,64,22
Cheerios,"Cheerios Fruity Cereal, 12 oz",4.448,69,29
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 10.5 oz",4.709,70,117
Post,"Great Grains Cranberry Almond Crunch Cereal, 14 oz",4.714,72,21
Kellogg's Special K,"Kellogg's Special K Vanilla Almond Cereal, 16.3 oz",4.963,73,27
Post,"Post Shredded Wheat Wheat 'N Bran Spoon Size Cereal, 18 oz",4.861,76,36
Kellogg's,"Kellogg's Special K Cranberry Almond Hot Cereal, 1.83 oz, 2 count",4.6,78,5
Post,"Post Selects Great Grains Crunchy Pecans Cereal, 16 oz",4.857,80,14
Kellogg's Frosted Flakes,"Kellogg's Frosted Flakes Cereal, 26.8 oz",4.709,81,117
Kashi,"Kashi GoLean Crunch! Cereal, 21.3 oz",0,89,0
Post,"Raisin Bran Cereal, 25 oz",4.8,91,25
Post,"Post Selects Banana Nut Crunch Cereal, 15.5 oz",4.476,92,21
Honey Nut Cheerios,"Honey Nut Cheerios Gluten Free Cereal, 21.6 oz",4.839,97,186
Kellogg's,"Kellogg's Rice Krispies Cereal, 18 oz",4.906,101,32
Cheerios,"Frosted Cheerios Gluten Free Cereal, 12 oz",4.818,105,11
Kashi,"Kashi Autumn Wheat Cereal, 16.3 oz",4.0,115,8
Kashi,"Kashi Island Vanilla Cereal, 16.3 oz",4.909,116,11
Kellogg's Special K,"Kellogg's Special K Red Berries Cereal, 14.7 oz",4.647,121,86
Kashi Golean,"Kashi GoLean Cereal, 13.1 oz",4.875,122,16
Kellogg's,"Kellogg's Marvel Avengers Age of Ultron Cereal, 8.4 oz",3.0,123,1
Kellogg's,"Kellogg's Cinnabon Cereal, 9 oz",4.955,129,22
Kellogg's,"Kellogg's Crispix Cereal, 12 oz",4.783,130,24
Kellogg's Special K,"Kellogg's Special K Protein Cereal, 12.5 oz",4.759,132,112
Post,"Post Golden Crisp Cereal, 14.75 oz",5.0,135,6
Cheerios,"Honey Nut Cheerios Medley Crunch Cereal, 22.5 oz",4.375,138,40
Cheerios,"Cheerios Gluten Free Cereal, 12 oz",4.75,141,40
Post,"Post Shredded Wheat Honey Nut Spoon Size Cereal, 20 oz",5.0,142,11
Kellogg's Special K,"Kellogg's Special K Fruit & Yogurt Cereal, 16.6 oz",4.846,147,13
Post,"Honey Bunches Of Oats Cereal With Almonds, 18 oz",4.8,148,15
Post,"Honey Bunches Of Oats Honey Roasted Cereal, 18 oz",5.0,149,13
Cheerios,"Cheerios Protein Oats ; Honey Cereal, 14.1 oz",4.28,151,25
Kellogg's Special K,"Kellogg's Special K Red Berries Cereal, 11.2 oz",4.806,155,253
Kellogg's,"Kellogg's Corn Pops Cereal, 21.4 oz",4.677,159,31
Post,"Grape-Nuts Flakes Cereal, 18 oz",4.696,161,23
Kellogg's,"Kellogg's Krave Double Chocolate Cereal, 11 oz",4.615,162,13
Kashi,"Kashi Berry Fruitful Biscuits Cereal, 15.6 oz",4.539,164,13
Cheerios,"Cheerios Chocolate Cereal, 11.25 oz",4.6,167,30
Kashi Golean,"Kashi GoLean Crisp Toasted Berry Crumble Cereal, 14 oz",4.583,168,12
Kellogg's Special K,"Kellogg's Special K Cinnamon Pecan Cereal, 16 oz",4.82,169,50
Post,"Post Cocoa Pebbles Cereal, 20.5 oz",4.143,174,7
Kashi,"Kashi Heart to Heart Honey Toasted Oat Cereal, 12 oz",4.813,176,16
Kellogg's Special K,"Kellogg's Special K Chocolate Almond Cereal, 12.7 oz",4.718,179,103
